,title,description,date,price,img,path
18,Activa 3g With 1yr warranty + 3 free services finance facility availab,"From the house of KKTVS now open TRUMOTO pre-owned two wheelers Showroom in Nangloi,Delhi  purchase at best price",2021-09-21T05:36:18+0000,"₹ 42,500",https://apollo-singapore.akamaized.net:443/v1/files/4h4dtp6gir7h2-IN/image,images/18.png
19,taosjht4gb WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FI,taosjht4gb WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FITTINGS. ONE YEAR BRAND WARRANTY BRAND NEW PRODUCT FOR YOU AT LOWEST PRICE HURRY UP!!! CASH ON DELIVERY [ cod ] BOOK TODAY  CALL US NOW.,2021-09-21T05:20:05+0000,"₹ 3,499",https://apollo-singapore.akamaized.net:443/v1/files/cs7tkywl59zk1-IN/image,images/19.png
20,olnse3y4b WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FIT,olnse3y4b WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FITTINGS. ONE YEAR BRAND WARRANTY BRAND NEW PRODUCT FOR YOU AT LOWEST PRICE HURRY UP!!! CASH ON DELIVERY [ cod ] BOOK TODAY  CALL US NOW.,2021-09-21T05:19:32+0000,"₹ 4,399",https://apollo-singapore.akamaized.net:443/v1/files/ycqjgf3r2vdx1-IN/image,images/20.png
21,Lg fridge 2010 model ..good and bilkul working condition,Refrigerator LG 2010 model,2021-09-21T04:47:33+0000,"₹ 4,500",https://apollo-singapore.akamaized.net:443/v1/files/j342vuwd5jhh-IN/image,images/21.png
22,Amar Colony Samsung fridge,Emergency cell 3500,2021-09-21T01:32:54+0000,"₹ 3,700",https://apollo-singapore.akamaized.net:443/v1/files/at66sfzlkx46-IN/image,images/22.png
23,2BHK First Floor Free Hold,* 2BHK * First Floor * Free Hold * Ready To Move * Open Parking * Prime Location * Near to Metro * Near to Market * More similar options available * Affordable price * 1 RK  //1 BHK//2 BHK // 3 BHK // 4 BHK available for Rent And Sale * Lease and booking option available. * Collaboration option also available * Call Dheeraj Gohri,2021-09-20T18:33:41+0000,"₹ 45,00,000",https://apollo-singapore.akamaized.net:443/v1/files/bk9awc8eilbr1-IN/image,images/23.png
24,Samsung refrigerator latest model discounted price digital inverter,700 litre Samsung side by side refrigerator,2021-09-20T18:28:18+0000,"₹ 43,000",https://apollo-singapore.akamaized.net:443/v1/files/3tzk9iqxzvm81-IN/image,images/24.png
25,1.5 T Napoleon Window Air Conditioner with Stabilizer,Make- Napoleon 5 years old.,2021-09-20T18:02:32+0000,"₹ 20,000",https://apollo-singapore.akamaized.net:443/v1/files/tpe85kbj0f312-IN/image,images/25.png
26,32 Inch smart Sony panel LED TV,HDMI port     HD quality USB cable   Len port  4K Sapported  One year warranty two months replacement with bill  High resolution video Updated version  All size available 24 to 55 inch  Bank account transfer Credit debit card accepted  Flat screen TV WiFi connection good Full screen TV       Kashish enterprise,2021-09-20T18:02:20+0000,"₹ 10,000",https://apollo-singapore.akamaized.net:443/v1/files/zi1f04896qg5-IN/image,images/26.png
27,Bose Soundsport free,Boss wireless buds 1.5 yrs old..,2021-09-20T16:43:25+0000,"₹ 7,000",https://apollo-singapore.akamaized.net:443/v1/files/vpwuiygo8syc1-IN/image,images/27.png
28,LG freezer  215 litre,1 year old good condition,2021-09-20T14:35:47+0000,"₹ 12,000",https://apollo-singapore.akamaized.net:443/v1/files/som6qb9r9d3f1-IN/image,images/28.png
29,voltas d freezer,good running condition,2021-09-20T13:42:53+0000,"₹ 11,000",https://apollo-singapore.akamaized.net:443/v1/files/vsy4xgzb153l3-IN/image,images/29.png
30,Refrigerator,Refrigerator all brend duble door single Door working condition wholesale price per,2021-09-20T13:12:07+0000,"₹ 4,500",https://apollo-singapore.akamaized.net:443/v1/files/jfdo6sdos8og3-IN/image,images/30.png
