,title,description,date,price,img,path
21,Dual Handheld Spider Gimbal for Stabilizing Video,Used just 3-4 times  Satisfactory Performance 1.8 years old Dual Handheld Spider Gimbal for Stabilizing Video (non Battery),2021-09-14T06:59:58+0000,"₹ 5,800",https://apollo-singapore.akamaized.net:443/v1/files/mlo2ukbiljks1-IN/image,images/21.png
22,Sony alfa A58,Good condition camera with lances 18-55 & 55-200 battery charger sale charger flash light,2021-09-14T06:15:16+0000,"₹ 20,000",https://apollo-singapore.akamaized.net:443/v1/files/2dksmif7uu0s2-IN/image,images/22.png
23,Projector  Elmo Slide CV,Well maintained,2021-09-14T04:06:55+0000,"₹ 6,000",https://apollo-singapore.akamaized.net:443/v1/files/1hp6c58cu0ke1-IN/image,images/23.png
24,SONY  HXR NX3  FULL HD video camera,1 sony video recording camera in very good condition  2 Battery charger.,2021-09-14T03:50:57+0000,"₹ 90,000",https://apollo-singapore.akamaized.net:443/v1/files/1w1seerlgcge-IN/image,images/24.png
25,Sony cyber shot camera model no.DSC W310 less use,Sony cyber shot camera model no.DSC W310 less use like new,2021-09-16T08:22:02+0000,"₹ 5,000",https://apollo-singapore.akamaized.net:443/v1/files/9brcti0c9w1h3-IN/image,images/25.png
26,jbl boombox portable speaker,box pack one day old only very loud noise,2021-09-16T08:21:48+0000,"₹ 21,000",https://apollo-singapore.akamaized.net:443/v1/files/tps3lua3r5sd1-IN/image,images/26.png
27,Car Reverse Parking Camera,Night Vision LED LIGHTS FULL HD REVERSE PARKING CAMERA CAN BE FITTED IN ANY CAR UNUSED CONDITION Puchased for ₹1300 Urgent sell,2021-09-16T06:38:29+0000,"₹ 1,100",https://apollo-singapore.akamaized.net:443/v1/files/bxgvguh814cj2-IN/image,images/27.png
28,Akaso V50 X action camera,Use nhi brand new hai box pack hai all accessories sath hai...,2021-09-16T05:50:28+0000,"₹ 7,000",https://apollo-singapore.akamaized.net:443/v1/files/6p3niqh4y4qn-IN/image,images/28.png
29,Virtual reality headset,VR goggles good quality In very good condition  Brand: My VR  My VR Wireless VR Headset with 120 Degree FOV for Smartphones (White Body and Half Transparent Cover),2021-09-16T05:47:59+0000,"₹ 1,000",https://apollo-singapore.akamaized.net:443/v1/files/hmzvmxb2igzf2-IN/image,images/29.png
30,Wi-Fi camera ready for installation call fast best price,"home delivery & installation available Description  V380 WIFI Camera with REMOTE MONITORING by Mobile app AND 2 Way TALK with Video Recording using memory card:  2 Way Audio Intercom + voice message + Wide Angle View + Motion Detection Alarm + Real-time monitoring+Night Vision  Megapixel IP Wifi Camera with Stunning Picture Quality, V380 Mobile App. APP is free life time  Dual-way Live Video call and Intercom , Make communication more smoothly  High Video Compression : 64GB Memory Card (not included) give recording a month  Strong Magnet at base, so that can be fixed to any metal object easily.  Best Suitable for 20 x 20 Feet Room/Shop/Office/ for live monitoring of maid, Baby, Servant etc.  History Playback , Know all day movement any time from Mobile app only , no need to remove memory card.  Low Internet data consumption  Watch Live home from office using mobile app.  Motion Sensor gives alarm and recording both features. Can be used as WiFi Door Bell also .  Specification :  Color: White  Positioning: Wall Mount Or Ceiling Mount 360Degree Movement  Memory Card Supported up to 64GB  Can be Connected to Any Mobile Power Bank so that use it without electricity .  5V 2A USB Power Camera comes with Adaptor and USB Cable.  With Inbuilt Mic and Speaker for Communication with Mobile app  Use it as WiFi Door Bell . And Talk to Visitor Using you mobile App.   Compatible Devices: Up to Android 2.3 and IOS 6.0 devices   Package Includes :  1x V380 Smart Camera  1x USB Cable  1x User",2021-09-16T04:37:54+0000,"₹ 1,200",https://apollo-singapore.akamaized.net:443/v1/files/gjjweitq67sg1-IN/image,images/30.png
