,Unnamed: 0,PRODUCT NAME,PRODUCT PRICE,PRODUCT RATING,URL,brand,pixels
32,32,digitek® (dtr 260 gt) gorilla tripod/mini 33 cm (13 inch) tripod for mobile phone with phone mount & remote | flexible gorilla stand for dslr & action cameras,399,4.1,https://m.media-amazon.com/images/I/61wjRpSAYGL._AC_UY218_.jpg,digitek®,
33,33,"sidrum waterproof shoulder camera bag for dslr | crossbody bag case for nikon, canon, sony slr/dslr mirrorless cameras | waterproof rain cover included (wf-18)",649,2.9,https://m.media-amazon.com/images/I/81FlFD8vB7L._AC_UY218_.jpg,sidrum,
34,34,"subton photography mobile holder mini tripod camera stand with horizontal & vertical rotation | for vlogging, video shooting, youtube etc compatible with all mobile phones, action gopro cameras dslr",249,4.0,https://m.media-amazon.com/images/I/51Ue342N5DL._AC_UY218_.jpg,subton,
35,35,"ceuta 360 photo mini tripod for mobile , portable small tripod for dslr & mirrorless cameras, mini tripod stand w/anti slip feet, works as desktop tripod, vlog tripod, table tripod",325,4.8,https://m.media-amazon.com/images/I/51LLTzm5scL._AC_UY218_.jpg,ceuta,
36,36,digitek® (dcb 001) waterproof camera bag | lightweight dslr backpack | lens accessories carry case for all dslr cameras | made in india | (black) (41 cm),999,3.9,https://m.media-amazon.com/images/I/810lJ5KSGrL._AC_UY218_.jpg,digitek®,
37,37,"techzere camera hand adjustable safety wrist strap for mirrorless cameras & dslrs, black",499,4.2,https://m.media-amazon.com/images/I/71nbr0TPNPL._AC_UY218_.jpg,techzere,
38,38,ijja np-bg1 camera charger compatible with sony camera battery,499,4.4,https://m.media-amazon.com/images/I/31enTQluklL._AC_UY218_.jpg,ijja,
39,39,"godrej hd 4mp security camera kit, white",14715,3.5,https://m.media-amazon.com/images/I/41X17vFJncL._AC_UY218_.jpg,godrej,4.0
40,40,"ruily® kids camcorder 5mp 2.4"" tft screen for kids camera (blue)",2299,3.9,https://m.media-amazon.com/images/I/31SuaPs62sL._AC_UY218_.jpg,ruily®,5.0
41,41,"sony digital vlog camera zv 1 (compact, video eye af, flip screen, in-built microphone, bluetooth shooting grip, 4k vlogging camera and content creation) - black",70990,3.4,https://m.media-amazon.com/images/I/716sQB1HdPL._AC_UY218_.jpg,sony,
42,42,"sony alpha ilce-7c compact full frame camera (4k, flip screen, light weight, real time tracking, content creation) - black",151990,3.3,https://m.media-amazon.com/images/I/71x4V5wzCZL._AC_UY218_.jpg,sony,
43,43,"digitek® (dtr 550lw) (170 cm) tripod for dslr, camera |operating height: 5.57 feet | maximum load capacity up to 4.5kg | portable lightweight aluminum tripod with 360 degree ball head | carry bag included (black)",1499,4.1,https://m.media-amazon.com/images/I/71RxTP5GWoL._AC_UY218_.jpg,digitek®,
44,44,"vezol digital camera, recorder camera 800w hd 2.0 inch screen video front camera child camera (blue) - bb16 (blue)",929,5.1,https://m.media-amazon.com/images/I/31j5ULtMKHL._AC_UY218_.jpg,vezol,
45,45,"blessbe kids digital front and rear selfie dual camera with 3.5"" screen child real camera for childrens cute digital camcorder video recorder (blue) bb39",1549,3.8,https://m.media-amazon.com/images/I/41N1Pjo1xDL._AC_UY218_.jpg,blessbe,
