Title,Rating,Price,link,Specifications
Blue Star 1.2 Ton 3 Star Split Inverter AC  - White,4.3,"Rs. 31,990",https://rukminim1.flixcart.com/image/312/312/k51cpe80/air-conditioner-new/v/2/h/ic315aatu-1-2-split-inverter-blue-star-original-imafnt5gjzmjgkak.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1440 W
,,,,Noise level: 40 dB
,,,,Ambient Temperature: 52 degree C
,,,,Wi-Fi Enabled: No
,,,,"1 Year on Product and Condenser, 10 Years on Compressor warranty from Blue Star."
,,
MarQ By Flipkart 1 Ton 3 Star Split AC  - White,4.2,"Rs. 21,490",https://rukminim1.flixcart.com/image/312/312/kqe3low0/air-conditioner-new/a/l/h/fkac103sfaa-split-fixed-speed-marq-by-flipkart-original-imag4eykebqheg2d.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 958 W
,,,,Noise level: 39.6 db
,,,,Refrigerant: R-32
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 5 Years on Compressor
,,
"Whirlpool 1.5 Ton 3 Star Split AC  - White, Grey",4.1,"Rs. 28,490",https://rukminim1.flixcart.com/image/312/312/klscivk0/air-conditioner-new/f/w/f/1-5t-magicool-elite-pro-3s-copr-split-whirlpool-fixed-speed-original-imagyuyfratkeyf5.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1410 W
,,,,Noise level: 36 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 48 degree C
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 5 Years on Compressor from Whirlpool.
,,
Whirlpool 1 Ton 3 Star Split Inverter AC  - White,4.2,"Rs. 26,990",https://rukminim1.flixcart.com/image/312/312/kksmikw0/air-conditioner-new/0/m/e/1-5t-magicool-pro-5s-copr-inv-split-inverter-whirlpool-original-imagy25utwj6jgg7.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1075 W
,,,,Noise level: 42 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 52 degree C
,,,,Wi-Fi Enabled: No
,,,,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from Whirlpool"
,,
Whirlpool 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"Rs. 34,490",https://rukminim1.flixcart.com/image/312/312/kksmikw0/air-conditioner-new/0/m/e/1-5t-magicool-pro-5s-copr-inv-split-inverter-whirlpool-original-imagy25utwj6jgg7.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1365 W
,,,,Noise level: 43 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 55 degree C
,,,,Wi-Fi Enabled: No
,,,,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor"
,,
Voltas 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"Rs. 36,800",https://rukminim1.flixcart.com/image/312/312/kay9bbk0/air-conditioner-new/z/p/g/185vjzjt-1-5-split-inverter-voltas-original-imafseqapycj8zru.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1590 W
,,,,Noise level: 46 dB
,,,,Ambient Temperature: 52 degree C
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 5 Years on Compressor from Voltas
,,
Daikin 1.5 Ton 3 Star Split Inverter with PM 2.5 Filter AC with PM 2.5 Filter  - White,4.2,"Rs. 36,990",https://rukminim1.flixcart.com/image/312/312/ko7idu80/air-conditioner-new/f/e/s/mtkl50tv16v-rkl50tv16v-c-split-daikin-inverter-original-imag2px2ydtm934p.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1752 W
,,,,Noise level: 35 dB
,,,,Refrigerant: R-32
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 10 Years on Compressor From Daikin
,,
MarQ By Flipkart 1.5 Ton 5 Star Window AC  - White,4.2,"Rs. 25,490",https://rukminim1.flixcart.com/image/312/312/k9re3rk0/air-conditioner-new/v/j/c/fkac155sfwaca-1-5-window-fixed-speed-marq-by-flipkart-original-imafrhckfugfeqjc.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1520 W
,,,,Noise level: 60 dB
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 5 Years on Compressor
,,
CARRIER 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter AC  - White,4.3,"Rs. 41,990",https://rukminim1.flixcart.com/image/312/312/klfhk7k0/air-conditioner-new/u/i/4/18k-5-star-ester-nxi-hybridjet-inverter-r32-split-ac-split-original-imagyk2qgejvdhas.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1500 W
,,,,Noise level: 38 dB
,,,,Refrigerant: R32
,,,,Wi-Fi Enabled: No
,,,,"1 Year Warranty on Product, 2 Years on PCB and 10 Years on Compressor from Carrier"
,,
Voltas 0.8 Ton 3 Star Split AC  - White,4.1,"Rs. 23,790",https://rukminim1.flixcart.com/image/312/312/k5o7r0w0/air-conditioner-new/j/g/k/sac-103-dzx-0-8-split-fixed-speed-voltas-original-imafzavu7ufmsetd.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 826 W
,,,,Noise level: 46 dB
,,,,Refrigerant: R22/ R32
,,,,Wi-Fi Enabled: No
,,,,1 Year Warranty on Product and 5 Years on Compressor From Voltas
,,
SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"Rs. 35,990",https://rukminim1.flixcart.com/image/312/312/knni7ww0/air-conditioner-new/m/l/v/ar18aynzbbe-split-samsung-fixed-speed-original-imag2ay7t8daqqhk.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1380 W
,,,,Noise level: 44 dB
,,,,Wi-Fi Enabled: No
,,,,"1 Year Comprehensive Warranty on Product, 1 Year on PCB, 1 Year on Condenser, 1 Year on Gas Recharge and 10 Years on Compressor from Samsung"
,,
"SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White, Blue",4.2,"Rs. 32,990",https://rukminim1.flixcart.com/image/312/312/kg40k280/air-conditioner-new/n/z/y/ar18ty3qbbu-sps-1-5-split-samsung-inverter-original-imafwefyhzztgtzg.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1748 W
,,,,Noise level: 52 dB
,,,,Wi-Fi Enabled: No
,,,,1 Year comprehensive and 10 years on Compressor
,,
Title,Rating,Price,link,Specifications
"Godrej 1.25 Ton 3 Star Split Inverter AC  - White, Brown",4.2,"Rs. 29,990",https://rukminim1.flixcart.com/image/312/312/k7p37gw0/air-conditioner-new/m/2/j/gic-15stc3-wta-1-25-split-inverter-godrej-original-imafpvjfptbzdvnx.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 898.63 W
,,,,Noise level: 29.5 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 50 degree C
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and Condenser Coil Warranty and 10 Years on Compressor from Godrej
,,
