Title,Rating,Price,Link,Specifications
SAMSUNG The Frame 2021 Series 125 cm (50 inch) QLED Ultra HD (4K) Smart TV,4.3,"Rs. 77,990",https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Tizen
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,20 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,4 x HDMI | 2 x USB
,,,,1 Year Product Warranty and 1 Year Additional on Panel
,,
Vu Premium 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,4.4,"Rs. 43,999",https://rukminim1.flixcart.com/image/312/312/k7dnonk0/television/x/z/a/vu-50pm-50pm-original-imafpmrtnctj6qgz.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,30 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,A+ Grade
,,,,1 Year Vu Domestic Warranty
,,
realme 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,"Rs. 16,999",https://rukminim1.flixcart.com/image/312/312/kae95e80/television/f/6/y/realme-tv-32-original-imafrz79pweqeafh.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,HD Ready 1366 x 768 Pixels
,,,,24 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,"1 Year Domestic Warranty, 2 Years on Panel"
,,
Mi 4X 138.8 cm (55 inch) Ultra HD (4K) LED Smart TV,4.3,"Rs. 44,999",https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/e/p/w/l50m5-5ain-mi-original-imag4969ybwxqwza.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Android Based
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,20 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,1 Year on Product and 1 Year Additional for Panel
,,
Mi 5X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,3.9,"Rs. 41,999",https://rukminim1.flixcart.com/image/312/312/ksoz53k0/television/j/n/i/l50m6-es-mi-original-imag6774eyhv77fg.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,40 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,1 Year Warranty and 2 Years for Panel
,,
TOSHIBA L50 Series 108 cm (43 inch) Full HD LED Smart TV with ADS Panel,4.3,"Rs. 24,990",https://rukminim1.flixcart.com/image/312/312/kex5ci80/television/z/v/u/toshiba-43l5050-original-imafvh4nczqkuzzd.jpeg?q=70,Netflix|Prime Video|Youtube
,,,,Operating System: VIDAA
,,,,Full HD 1920 x 1080 Pixels
,,,,24 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,2 x HDMI | 2 x USB
,,,,Yupp TV
,,,,1 Year Warranty
,,
Mi 4A Pro 108 cm (43 inch) Full HD LED Smart Android TV,4.4,"Rs. 26,999",https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/d/a/j/l43m5-an-mi-original-imag4967gctacntj.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,Full HD 1920 x 1080 Pixels
,,,,20 W Speaker Output
