,Title,Rating,Price,Link,Company,Processor,Display,ssd,hdd,ram
192,hp core i3 11th gen - (8 gb/256 gb ssd/windows 10 home) 14s-dq2100tu thin and light laptop,4.1,39990,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/p/n/a/hp-original-imag3efeqfqqx6e5.jpeg?q=70,HP,intel i3,14,256.0,0.0,8
193,msi modern 14 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home) modern 14 b10mw-423in laptop,4.5,49990,https://rukminim1.flixcart.com/image/312/312/kjabs7k0/computer/z/d/6/msi-original-imafywfypuwbubmn.jpeg?q=70,MSI,intel i5,14,512.0,0.0,8
194,hp 15s core i3 10th gen - (8 gb/1 tb hdd/256 gb ssd/windows 10 home) 15s-du1064tu laptop,4.3,44490,https://rukminim1.flixcart.com/image/312/312/kbqu4cw0/computer/t/d/f/hp-original-imaftyzafphshjge.jpeg?q=70,HP,intel i3,15.6,256.0,1024.0,8
195,apple macbook pro m1 - (8 gb/512 gb ssd/mac os big sur) mydc2hn/a,4.7,130990,https://rukminim1.flixcart.com/image/312/312/khdqnbk0/computer/5/2/3/apple-original-imafxfyqp4fbfuv3.jpeg?q=70,APPLE,others,13.3,512.0,0.0,8
196,dell inspiron core i5 11th gen - (8 gb/512 gb ssd/windows 10 home/2 gb graphics) inspiron 7400 thin an...,3.8,81690,https://rukminim1.flixcart.com/image/312/312/khkvukw0/computer/a/w/e/dell-na-thin-and-light-laptop-original-imafxk9bdmbfgxdy.jpeg?q=70,DELL,intel i5,14.5,512.0,0.0,8
197,dell core i3 4th gen - (8 gb/256 gb ssd/windows 10) inspiron 3501 laptop,4.1,44900,https://rukminim1.flixcart.com/image/312/312/kskotjk0/computer/s/c/o/inspiron-3501-laptop-dell-original-imag644dccsvu2aj.jpeg?q=70,DELL,intel i3,15.6,256.0,0.0,8
198,asus chromebook flip celeron dual core - (4 gb/64 gb emmc storage/chrome os) c214ma-bu0452 2 in 1 lapt...,4.1,24999,https://rukminim1.flixcart.com/image/312/312/kr2e3680/computer/k/k/m/na-thin-and-light-laptop-asus-original-imag4yyzpz46g8vt.jpeg?q=70,ASUS,intel celeron,15,0.0,0.0,4
199,hp 15s ryzen 3 dual core 3250u - (8 gb/1 tb hdd/windows 10 home) 15s-gr0011au thin and light laptop,4.2,39780,https://rukminim1.flixcart.com/image/312/312/kk2wl8w0/computer/z/u/5/hp-original-imafzgdgcbtxvjka.jpeg?q=70,HP,ryzen 3,11.6,0.0,1024.0,8
200,lenovo yoga 7 core i7 11th gen intel evo - (16 gb/512 gb ssd/windows 10 home) 14itl5 2 in 1 laptop,4.7,97990,https://rukminim1.flixcart.com/image/312/312/kkimfm80/computer/q/g/o/na-2-in-1-laptop-lenovo-original-imafzua4zhhpyyz8.jpeg?q=70,lenovo,intel i7,15.6,512.0,0.0,16
201,hp envy core i7 10th gen - (16 gb/1 tb ssd/windows 10 home/6 gb graphics) 15-ep0123tx laptop,4.1,143990,https://rukminim1.flixcart.com/image/312/312/kd69z0w0/computer/m/3/u/hp-original-imafu4xzyz5kcr6n.jpeg?q=70,HP,intel i7,14,1024.0,0.0,16
