title,description,location,features,date,price
asus tuf vg27a 280hz open box totally new,asus tuf vg27a 280hz open box totally new,2021-09-21T05:14:14+0000,"₹ 26,499"
Apple Macbook Pro 13inch Display i5   mac book laptop mackbook pro air,Apple Macbook pro 13inch Display  Model A1278 2012 year  2.5 ghz i5 processor  4Gb Ram (Upgradable 16Gb) 500Gb hard disk (upgradable 2tb) 4000 1536mb Graphics card  4 hours battery backup  Bulk quantity available Note ~ Price Fixed no Bargaining,2021-09-12T11:41:27+0000,"₹ 24,999"
Apple macbook pro m1,Money problem,2021-09-21T14:10:38+0000,"₹ 95,000"
Computer in good condition,I want to sell my computer with computer table/computer trolly both in good condition computer and trolly both with speakers also,2021-09-21T13:48:45+0000,"₹ 9,000"
Dell DA200 USB-C Adapter,Selling almost new original Dell USB-C adapter.,2021-09-21T13:45:51+0000,"₹ 4,000"
Branded Dell core 2 duo DDR3 desktop 2 gb ram 250 gb harddisk,Branded Dell core 2 duo DDR3 Desktop    2gb ram DDR3  250 gb harddisk  Intel core 2 duo processor  17 inch lcd keyboard mouse cables  Testing warranty,2021-09-21T13:45:46+0000,"₹ 5,999"
Dell  Core 2 duo CPU 2 gb ram DDR3 / 250 gb harddisk,Dell core 2 duo DDR3 cpu   2 gb ram DDR3  250 gb harddisk  Intel core 2 duo processor   Only cpu only cpu  Extra charge for lcd  17 inch lcd /15 inch lcd / 19 inch lcd,2021-09-21T13:30:48+0000,"₹ 4,250"
Branded Computer hp / Dell,Branded computer Hp / Dell   2gb ram  Intel core 2 duo processor  160 gb harddisk   17 inch lcd keyboard mouse cables,2021-09-21T13:30:48+0000,"₹ 4,999"
Ryzen 3 1200 kit 4gb ram a320m galax motherboard,motherbord and ram is under warranty processor out of warranty bill box available   full mint condition   i have upgraded to intel i5 so i want to sell only motherbord and ram or processor,2021-09-21T13:20:46+0000,"₹ 12,999"
Hp Commercial Laptop Intel i5-4G/8/240gb SSD/15.6&quot;/1 Month Warranty,"Hp ProBook Commercial Series Laptop Intel Core i5-4th Generation Processor 8gb Ram 240gb SSD  15.6"" LED HD Anti Glare Display 1 Month Warranty",2021-09-21T12:55:28+0000,"₹ 28,500"
Hp ZBook Intel i7/16/256ssd+1TB HDD/2gb nvidia/15.6&quot;/1 Month Warranty,"Hp ZBook Intel Core i7 Processor 16gb Ram 256gb ssd+1TB HDD 2gb nvidia Quadro Graphics card 15.6"" Full HD Anti Glare Display 1 Month Warranty",2021-09-21T12:45:03+0000,"₹ 42,000"
Refurbished laptop good condition,All brand laptop Sony HP Dell Lenovo,2021-09-21T12:39:52+0000,"₹ 7,500"
All laptop hp Dell Sony Lenovo Acer,Ok laptop good laptop,2021-09-21T12:39:14+0000,"₹ 7,500"
Hp Dell Sony Lenovo Acer laptop,Ok laptop good warranty,2021-09-21T12:38:40+0000,"₹ 7,500"
All laptop hp Dell Sony Lenovo Acer,Good laptop warranty,2021-09-21T12:37:40+0000,"₹ 7,500"
Lenovo Mini Laptop Pentium Quad Core/4/240gbssd/12.6&quot;/1 Month Warranty,"Lenovo Mini Laptop  Intel Pentium Quad Core Processor/ 4gb Ram 240gb ssd 12.6"" LED Display 1 Month Warranty",2021-09-21T12:36:36+0000,"₹ 18,500"
Hp Ultrabook Intel i7-3G/8/128ssd+500HDD/14&quot;/1 Month Warranty,"Hp Commercial Series Ultrabook  Intel Core i7-3rd Generation 8gb Ram 128gb SSD+500gb HDD 14"" LED HD Anti Glare Display 1 Month Warranty",2021-09-21T12:27:32+0000,"₹ 26,500"
**VARIETY OF MODELS BRANDS*LAPTOPS*DESKTOPS*CORE I3*CORE I5*CORE I7**,"we deals in Pre-owned branded corporate **Used*LAPTOPS**DESKTOPS  **Laptops**  **Price range starts 16999 to 24999**  Processor : Core i3/i5/i7 series Gen 1st to 6th  Ram/hdd: 4gb 8gb 16gb /320gb 500gb/1 tb/SSD  Brands : HP DELL LENOVO  Models : Elite book, pro book, latitude, think pad  Screen size: 12.5 inches/13.3/14/15.6 inches  **variety of laptops**touch screen laptops**Ultra books**  **wide range of laptops for all types works/users**  *All configurations**Desktops**Led screen**keyboard/mouse available*  *DESKTOPS*  ** core i3 core i5 core i7 xeon workstations**  **Please visit our office**Ashok vihar**  **Near kanhaiya nagar metro station**  **Exit gate No.4 (2 min walking distance)**  Shree Ganpati Infotech (ashok vihar)  Near kanhaiya nagar metro station",2021-09-16T10:19:12+0000,"₹ 16,999"
13‑inch MacBook Pro new,"13‑inch MacBook Pro -   2.3GHz quad-core 10th-generation Intel Core i7 processor, Turbo Boost up to 4.1GHz 16GB 3733MHz LPDDR4X memory 512GB SSD storage Four Thunderbolt 3 ports 13-inch Retina display with True Tone Touch Bar and Touch ID brand new with box Bill date January 2021",2021-09-20T15:02:31+0000,"₹ 1,45,000"
Iball compbook laptop,"Rarely used and in very good condition   ball Atom Quad Core - (2 GB/32 GB EMMC Storage/ Windows 10 Home) CompBook Excelance Laptop (11.6 inch, Blue, 1 kg)",2021-09-19T09:35:40+0000,"₹ 8,000"
Selling New Desktop,Desktop not even an year old: Intel i7- 10700F 16 GB RAM 240 GB SSD 1TB HDD GIGABYTE MOTHER BOARD NVIDIA GTX 1050Ti UPS Original bill. Original packaging (for warranty purpose),2021-09-19T09:22:17+0000,"₹ 75,000"
Imported Hai commercial laptops,"Make : Lenovo   Model : T470s   Condition : Refurbished/Imported   Color : Black   Type : Commercial Laptop   Series : Ultrabook   Processor : Core i7 7th   Ram : 8gb   HardDrive : 256Gb Ssd   Graphics : 2Gb Intel Dedicated   ScreenSize : 14""   BatteryBackup :2 Hours+   Includes : Commercial WiFi, Bluetooth, HD Webcam, Dual trackpad, Fingerprint Sensor, Backlit Keyboard, Silent CPU, Sorround Sound Speaker, 3.0 USB, Matte Screen, Charger, Bill.  Warranty : 3 Months with bill.",2021-09-19T09:16:25+0000,"₹ 44,499"
Computer desktop,"LG monitor ,Sony CPU",2021-09-19T08:57:11+0000,"₹ 8,000"
I am selling my Motorola razr v3i flip folding Stylish phone,I am selling my Motorola  razr v3i Stylish phone its a very good condition and fully working condition this phone,2021-09-19T08:27:16+0000,"₹ 3,200"
Laserjet hp toner Q2612A,Laserjet toner black,2021-09-19T08:09:56+0000,₹ 800
Toshiba c665   i5   laptop 4gb ram 320gb h/d,Good  battery backup  good condition i5 first generation laptop 4gb ram   320gb hardisk,2021-09-19T08:05:33+0000,"₹ 11,000"
कभी भी ऑफर ख़तम हो सकता है NEW INTEL CORE i-5 COMPUTER 1 YEAR WARRANTY.,INTEL CORE i-5 COMPUTER WITH 1 YEAR WARRANTY BILL CARD ALL PARTS NEW AND BRANDED.  NEW SEALED PACKED 16 INCH L.E.D.  NEW ZREBRONICS KEYBOARD/MOUSE/CABLES.  2GB GRAPHIC MEMORY IN-BUILT HIGH PERFORMANCE.  H-61 SAMSUNG BRANDED MOTHERBOARD.  INTEL CORE i-5 2.90GHZ PROCESSOR HIGH SPEED MULTI WORKS.  4GB RAM DDR-3 SAMSUNG BRAND.  320GB HARD DISK SATA W/D BRAND.  ZEBRONICS CABINET+POWER SUPPLY BEST LOOKING.  FREE= WINDOW-10 ULTIMATE & DRIVERS INSTALLED.  CASH ON HOME DELIVERY AVAILABLE ON YOUR PLACE.  CALLING & WHATSAPP NUMBER=88001''''64114 &  72919''''63226.,2021-09-19T08:01:04+0000,"₹ 12,999"
CORE 7TH GEN E7400 GAMING COMPUTER 3GB RAM 500GB HARD DISK 1GB GRAPHIC,LG 2K 1440P LED 18 INCH GAMING MONITOR INTEL 7TH GEN C2D E7400 2.80GHZ BASE 3.20GHZ BOOST PROCESSOR  500GB SEAGATE HARD DISK  1GB INTEL GRAPHICS FOR GAMING AND EDITING WINDOWS 10 PRO INSTALLED AND RUNS VERY SMOOTHLY NEW KEYBOARD AND MOUSE  MSG ME TO BUY OR CALL ON MY NUMBER,2021-09-19T07:49:07+0000,"₹ 7,300"
"Sale your damage computer &Accessories, Hard Disk, UPS, Ram, SMPS etc.","Sale your damage computer &Accessories, Hard Disk, UPS, Ram, SMPS etc.",2021-09-19T07:31:51+0000,₹ 25
Readmate computer cum CPU (plug and use),I5 3rd generation 6 gb raam and 500gb hard disk,2021-09-19T07:15:55+0000,"₹ 6,900"
Totally New  Imported laptop With SSD,"Make : Dell   Model : 6330   Condition : Refurbished   Color : Grey   Type : Commercial Laptop   Series : Latitude   Processor : Core i5 3rd   Ram : 4Gb   HardDrive : 320GB   Graphics : 2 Gb   ScreenSize : 14""   BatteryBackup :2 Hours+   Includes : Commercial WiFi, Bluetooth, HD Webcam, Dual trackpad, Fingerprint Sensor, Backlit Keyboard, Silent CPU, Sorround Sound Speaker, 3.0 USB, Matte Screen, Charger, Bill   Warranty : 3 Months with bill.",2021-09-19T07:01:22+0000,"₹ 16,999"
Branded Laptops,"Make : Dell   Model : 5420   Condition : Refurbished   Color : Grey   Type : Commercial Laptop   Series : Latitude   Processor : Core i5 2nd   Ram : 4Gb   HardDrive : 320GB   Graphics : 2 Gb   ScreenSize : 14""   BatteryBackup : 2 Hours+   Includes : Commercial WiFi, Bluetooth, HD Webcam, Dual trackpad, Fingerprint Sensor, Backlit Keyboard, Silent CPU, Sorround Sound Speaker, 3.0 USB, Matte Screen, Charger, Bill  Warranty : 3 Months with bill.",2021-09-19T06:46:24+0000,"₹ 15,999"
Speaker for universal use,Speaker for universal use . Its all new condition,2021-09-19T04:46:02+0000,₹ 399
Acer Laptop Pentium Gold Core 2 duo,Acer One 14Z2-485 Pentium Gold Laptop 4 GB Ram 1 TB Rom Under Warranty in very good condition,2021-09-19T04:39:37+0000,"₹ 16,000"
Selling swiss professional laptop bag,Condition like new  Worth 8000,2021-09-19T04:36:10+0000,"₹ 4,000"
Hp i7 4th genration,Hp i7 4th genration 4gb ram 1 tb hard-disk with touch display need money contact me 5his numbers 9️⃣2️⃣8️⃣9️⃣2️⃣7️⃣3️⃣1️⃣1️⃣9️⃣,2021-09-19T04:17:05+0000,"₹ 30,000"
Gaming Computer,"Intel Core i5 4th Gen Processor with Base Frequency 2.9GHz, Max Turbo 3.2GHz, 4Cores, 4 Threads, 4MB Smart-cache H81 Motherboard 12GB DDR3 Ram | 2GB GT 710 Graphic Card 240GB SSD Hard Disk 500GB Hard Disk Windows 10 & Updated all drivers. Also installed some utilities like Google Chrome, VLC Player, Winrar,   Items with CPU 22 inches Samsung monitor + keyboard mouse + wi-fi modem + 4gb ram",2021-09-19T04:03:11+0000,"₹ 25,000"
Gaming cpu,AMD FX GAMING CPU  10 GB Ram 750 GB Hard disk 220 SSD  2 GB Graphic card  i ball cabinet  Best for Graphic and Gaming,2021-09-19T01:34:29+0000,"₹ 17,500"
Desktop screen,"M selling my desktop screen samsung 22inches,1 year old ,lukin as new, very good using,I want to buy laptop thats y I am selling.",2021-09-18T19:22:23+0000,"₹ 5,500"
**A-GRADE SELECTED MODELS**HP DELL**CORE I5 MODELS**JUST LIKE NEW**,"we deals in Pre-owned branded corporate **Used*Laptops**  **Laptops**  **Price range starts 16999 to 24999**  Processor : Core i3/i5/i7 series Gen 1st to 6th  Ram/hdd: 4gb 8gb 16gb /320gb 500gb/1 tb/SSD  Brands : HP DELL LENOVO  Models : Elite book, pro book, latitude, think pad  Screen size: 12.5 inches/13.3/14/15.6 inches  **variety of laptops**touch screen laptops**Ultra books**  **wide range of laptops for all types works/users**  *All configurations**Desktops**Led screen**keyboard/mouse available*  ** core i3 core i5 core i7 xeon workstations**  **Please visit our office**Ashok vihar**  **Near kanhaiya nagar metro station**  **Exit gate No.4 (2 min walking distance)**  Shree Ganpati Infotech (ashok vihar)  Near kanhaiya nagar metro station",2021-09-16T10:14:10+0000,"₹ 16,999"
Dell Latitude Series Laptop Intel i5-4G/8/500/14&quot;/1 Month Warranty,"Dell Latitude Commercial Series Laptop  Intel Core i5-4th Generation Processor 8gb Ram 500gb HDD 14"" LED HD Anti Glare Display 1 Month Warranty 22,500/-  Dell Latitude Commercial Series Laptop  Intel Core i5-4th Generation Processor 4gb Ram 240gb SSD 2gb Graphics card 14"" LED HD Anti Glare Display 1 Month Warranty 24,500/-",2021-09-21T12:23:06+0000,"₹ 22,500"
Rx480 Graphics Card 30 Hashrate on ETH,"This is Rx 480 XFX. No warranty, No Bill , No Box  Runs perfect on 29.5 hash , 109w. Earns $56 Every month  This card is better than rx570 , rx580 , rtx2060, gtx1070 , gtx1060 in terms of mining. Only serious buyers please. Bios is flashed just plug and play",2021-09-21T12:20:58+0000,"₹ 31,000"
Mining Motherboard TB250,Biostar TB250 Mining Motherboard Brand new Motherboard with Official 1 Year warranty Can run 12 Cards Smoothly for mining Supports Intel 6th Gen processor  Price is Fixed. Only serious buyers Please,2021-09-21T12:01:31+0000,"₹ 25,000"
LENOVO IDEAPAD 320,Super stylish and affordable Lenovo Ideapad 320. Works perfect. With charger.,2021-09-21T11:16:29+0000,"₹ 20,000"
HP 15 Notebook PC,Hp 15 Notebook PC Product Name 15-r132wm Product Number K7W77UA Microprocessor 2.16GHz Intel Pentium N3540 Processor with Turbo Boost up to 2.66GHz Memory 2GB DDR3L SDRAM (1 DIMM) Video Graphics Intel HD graphics Display 15.6-inch diagonal HD BrightView WLED-backlit display (1366x768) Hard Drive 512GB 5400RPM hard drive Multimedia Drive SuperMulti DVD burner Network Card 10/100BASE-T Ethernet LAN (RJ-45 connector) Wireless Connectivity 1x1 802.11b/g/n WLAN Sound HD Audio with stereo speakers Keyboard Full-size island-style keyboard with numeric keypad Pointing Device Touchpad supporting multi-touch gestures without on/off button External Ports Multi-format digital media card reader for Secure Digital cards 1 SuperSpeed USB 3.0 2 Universal Serial Bus (USB) 2.0 1 HDMI 1 RJ-45 (LAN) 1 Headphone-out/microphone-in combo jack,2021-09-21T11:16:17+0000,"₹ 11,999"
"MacBook Pro (13-inch, 2017, Two Thunderbolt 3 ports)",Processor - 2.3 GHz Dual-Core Intel Core i5 Memory - 8 GB 2133 MHz LPDDR3 128 SSD,2021-09-21T11:12:54+0000,"₹ 40,000"
Urgent Basis,Laptop like new condition,2021-09-21T10:46:45+0000,"₹ 25,000"
Apple macbook pro,Macbook pro i7/12GB/750GB,2021-09-21T10:37:24+0000,"₹ 31,000"
Lenovo think pad x200,Lenovo think pad x200 working condition windows 7,2021-09-21T10:24:51+0000,"₹ 8,000"
Mackbook pro 2011,I7 2gen  Needs a little repairs,2021-09-21T10:22:41+0000,"₹ 15,000"
Macbook Air,"Macbook Air bought in 2017 with original box, charger and bill. Everything on the MacBook is working perfectly and there are no scratches. Bluetooth is not working. It is in great condition.  Storage: 128 GB RAM: 8GB Processor: Core i5 1.6GHz, Dual core",2021-09-21T09:51:31+0000,"₹ 48,000"
42 inches 4K Smart Android Led TV_Brilliant performance + Monsoon sale,Features  2 HDMI port  2 USB port  AV option  audio output  RJ45 port  RF option  screen mirroring  Wi-Fi connection  laptop PC connectivity  Door delivery available  Without warranty and  With warranty available  credit card accepted,2021-09-21T09:46:32+0000,"₹ 11,999"
32&quot; Sony Just 9999 only Brand New UHD LED TV amazing festival off,Features  2 HDMI port  2 USB port  AV option  audio output  RJ45 port  RF option  screen mirroring  Wi-Fi connection  laptop PC connectivity  Door delivery available  Without warranty and  With warranty available  credit card accepted,2021-09-21T09:44:00+0000,"₹ 9,999"
HP Printer DeskJet ink advantage 2600,1 year old printer with good condition.,2021-09-21T09:40:11+0000,"₹ 3,500"
Lenovo Thinkpad notebook,"Very Good Conditions , Lanovo Laptop thinkpad notebook , 4 GB Ram ,164 Gb HDD , 4000 MAH Battary,  Battery.windows 10 oprating system , intel core i5 TM CPU , 14 inch Screen , Normal good Sound , with Web Camera.negotion avaiable.",2021-09-21T09:28:48+0000,"₹ 19,000"
USED Laptops - MacBook Pro Air Retina & Windows Laptops,"Used laptops available  Windows & Mac With Bill & Warranty  Macbook Pro A1278 C2D Start16000  MacBook Pro A1278 i5 Start 20000  Air 2015 & 2017 Available  MacBook Retina 2012 , 2015, 2017  Premium Windows Gaming & Touch Screen Laptops  Visit Our office B1035 Avantika Rohini",2021-08-25T09:50:33+0000,"₹ 16,000"
LAPTOPS & DESKTOPS FOR ALL TYPE OF USERS VARIETY OF MODELS & BRANDS,*We deals in corporate Used Laptops/Desktops A-grade Selected models*  **we have variety of models**brands**configurations**HP*DELL**LENOVO**   **LAPTOPS**  **Core i5 series **1st gen to 6th gen**  **4gb*8gb*16gb**320gb 500gb**1 TB**SSD hard drive**  **Price range**16999 to 24999**   **Many models available in ultra books/touch screen/high-end series**    **DESKTOPS**CPU**TFTs**  ***core i3**core i5**core i7**cpu**xeon work station  **Price range***7999 to 16999**  **Variety for all users/works many models**    Shree Ganpati Infotech Near kanhaiya nagar metro (Ashok vihar) Check facebook page**LAPPY ZONE**,2021-09-16T11:58:03+0000,"₹ 16,999"
HP / DELL / LENOVO Used Laptops For Branded Commercial Series i5/ i7,"HP / DELL / TOSHIBA Used Laptops For Branded Commercial Series i 5/ i 7  Ram : - 4 GB // 8 GB // 16 GB DDR 3-4  Hdd 320 GB &gt; 500 GB &gt; 1 TB  SSD 240 GB &gt; 256 GB &gt; 480 GB  Generation : - 2nd to 7th  Web Cam, Blue-tooth, Wi-fi  2hr Plus Battery Back up  One Month Testing Warranty  Ram or Hdd Also Upgrade-able  Get In Best Condition  Quantity Available  For More Nd Better Information Please Contact : -  (Gaurav Gupta)  Please Visit Our Store Nd See The Latest Collection :-  (ASHOK VIHAR) KANHAIYA NAGAR METRO  EXIT GATE NO 4 THEN CALL US :-",2021-09-18T06:34:29+0000,"₹ 16,999"
Apple Macbook pro Touchbar 13 inch 2016,"Mac book pro Touch Bar 2016 13 inches core i5, 8 gb, 500 gb. New like condition. No box and no bill. Warranty over. Can give photo ID if needed. Thanks",2021-09-21T09:28:41+0000,"₹ 77,000"
Computer festival,Best computer for your home  Best computer in your budget Ram 2 gb  Hard disk 320gb Dual core  Operating system windows 10 In new condition and working fabulously With a beautifull wireless gaming mouse of logitech No scratches and defects Payment in cash only,2021-09-20T14:29:24+0000,"₹ 8,499"
16 g.b ecc ram DDR4 RDIMM ECC Newly packed RAM,Box packed sealed Certified-for-Dell-16-GB-DDR4-2133-ECC-RDIMM for workstation.,2021-09-20T13:08:05+0000,"₹ 10,000"
Apple mac book air i5,Apple laptop very good condition 256 ssd ram 11 inch 1.6 GHz i 5,2021-09-20T13:01:35+0000,"₹ 35,000"
New gaming headphone,Product Name: Fancy cool product Product Type: Headset Type: Over The Ear Compatibility: Other Devices Mic: Yes Audio Jack Type: 3.5 mm Water Resistant: No Cable Length: 200 cm Dynamic Driver: 30 mm Dust Protected: Yes Sweat Proof: Yes Service Type: Replacement  Sizes:  Free Size Country of Origin: China,2021-09-20T12:49:57+0000,"₹ 2,000"
Sell Apple macbook pro flawless condition with original charger,Apple macbook pro flawless condition with original charger only. I5 3rd gen processor. 4/256gb ssd. Not even a single scratch or no dents very less used. Only genuine buyers contact me,2021-09-20T12:45:05+0000,"₹ 35,000"
Swiss Military Luxery Collection 48 cms Black Laptop Backpack (LBP76),its a Laptop Bag purchased in February 2021. Not used much as working from Home. Bag is in very good condition.11,2021-09-20T12:29:49+0000,"₹ 1,200"
Gaming Cabinet,Gaming Cabinet,2021-09-20T12:19:56+0000,"₹ 3,500"
MACBOOK AIR M1 256GB model,I want to sell my Macbook Air M1 256gb model golden colour 5 months old Brand new condition With Bill box,2021-09-20T12:15:02+0000,"₹ 76,000"
