,title,description,date,price,img,path
303,"Iphone 6s 16gb, 32gb, 64gb",Selling band new condition iPhone 6s bill phone and charger . Available in all variants and colour options.  1. iPhone 6 16 GB 6000 2. iPhone 6 32 GB 7000 3. iPhone 6 64 GB 8000 4. iphone se 32gb 6000 5. iPhone 6s 16 GB 7500 6. iPhone 6s 32 GB 8500 7. iPhone 6s 64 GB 9500 8. iPhone 7  32 GB  11500 9. iPhone 7 128 GB  13500 10. iPhone 7 256 GB 15000 11. iPhone 7 Plus 32 GB 17000 12. iPhone 7 Plus 128 GB 19000 13. iPhone 8 64 GB 18000 14. iPhone 8 256 GB 20000 15. iPhone X 64 GB 27000 16. iPhone X 256 GB 29000 17. iphone 5s 16 GB 4500 18. Iphone 5s 32 GB 5000   Fixed price don’t bargain and waste your time.,2021-09-26T07:36:41+0000,"₹ 10,000",https://apollo-singapore.akamaized.net:443/v1/files/r49xrz11umzj-IN/image,images/303.png
304,I phone 12 And 12 pro tempered 22 pcs,I phone 12 and 12 pro tempered 22pca,2021-09-26T07:36:15+0000,₹ 660,https://apollo-singapore.akamaized.net:443/v1/files/dhca7665qnp53-IN/image,images/304.png
305,"Iphone 6s 16gb, 32gb, 64gb",Selling band new condition iPhone 6s bill phone and charger . Available in all variants and colour options.  1. iPhone 6 16 GB 6000 2. iPhone 6 32 GB 7000 3. iPhone 6 64 GB 8000 4. iphone se 32gb 6000 5. iPhone 6s 16 GB 7500 6. iPhone 6s 32 GB 8500 7. iPhone 6s 64 GB 9500 8. iPhone 7  32 GB  11500 9. iPhone 7 128 GB  13500 10. iPhone 7 256 GB 15000 11. iPhone 7 Plus 32 GB 17000 12. iPhone 7 Plus 128 GB 19000 13. iPhone 8 64 GB 18000 14. iPhone 8 256 GB 20000 15. iPhone X 64 GB 27000 16. iPhone X 256 GB 29000 17. iphone 5s 16 GB 4500 18. Iphone 5s 32 GB 5000   Fixed price don’t bargain and waste your time.,2021-09-26T07:35:25+0000,"₹ 10,000",https://apollo-singapore.akamaized.net:443/v1/files/wcu080lycax8-IN/image,images/305.png
306,Iphone 7 32Gb black,I phone7 good condition  with charger.Bil box original hands free available 2year old.,2021-09-26T07:35:10+0000,"₹ 12,000",https://apollo-singapore.akamaized.net:443/v1/files/47okn7tm4vmi3-IN/image,images/306.png
307,iPhone X 64gb,I want to sell my iphone x 64gb in best price With all accessories Like charger box phone  But 1green line shows in display  1pink line in middle  Faceid not working  Truetone working Battery health82% In best price,2021-09-26T07:35:09+0000,"₹ 21,000",https://apollo-singapore.akamaized.net:443/v1/files/bkktd53lrku9-IN/image,images/307.png
308,Apple lightning to 3.5mm jack,"Apple lightning to 3.5mm jack not even a single time used, brand new and I can share the purchase date also",2021-09-26T07:33:01+0000,₹ 700,https://apollo-singapore.akamaized.net:443/v1/files/fjpfoe89fegw-IN/image,images/308.png
309,Mi A2 Rose gold 4gb 64gb,Good condition working properly 5 month old. With box and charger no bill available but I'd de dunga,2021-09-26T07:23:42+0000,"₹ 6,500",https://apollo-singapore.akamaized.net:443/v1/files/9hws5he5fdks3-IN/image,images/309.png
310,Working condition fix price,Working condition,2021-09-26T07:06:03+0000,₹ 500,https://apollo-singapore.akamaized.net:443/v1/files/1yx185gjte582-IN/image,images/310.png
311,Iphone x 64 gb white,Mint condition next to new,2021-09-26T07:05:43+0000,"₹ 30,000",https://apollo-singapore.akamaized.net:443/v1/files/3ngcqd6znr83-IN/image,images/311.png
312,Apple Pencil 1 gen & 2 gen brand new condition 99,"Unbelievable Deal.  - Apple Pencil 2 Gen | Like New Condition | With Box For Rs.9,499.  - Apple Pencil 2 Gen | Like New Condition For Rs.7,499.  - Apple Pencil 1 Gen | Like New Condition For Rs.4,999.  * Lots more iPhones, iPads, Samsung, OnePlus, Redmi, Oppo, Vivo models available on our WEBSITE  * Get our WEBSITE name by looking at our olx profile photo  * Cash On Delivery available all over India. EMI and Loan Financing also available.  * Store address: Mumbai only.  * Price is 100% fixed.  93.  2 3  . 22. 34. 56 Contact  *** Follow our WEBSITE as stock is updated daily ONLY on website and not on Olx. ***",2021-09-26T07:04:25+0000,"₹ 4,999",https://apollo-singapore.akamaized.net:443/v1/files/uryttaigj1hz2-IN/image,images/312.png
313,Two Phone sale display change proper working condition with box,Urgent sale call,2021-09-26T06:48:06+0000,"₹ 9,500",https://apollo-singapore.akamaized.net:443/v1/files/s2m76r279tth1-IN/image,images/313.png
314,iphone 6s | iphone 7 | iphone 8 | 32GB| 64GB|128-COD,"Brand New Condition Devices With Warranty   All models iPhones, iWatch, Airpods, Macbook.  •• iPhone Se to iPhone 12Pro Max   Warranty -> Available  Condition -> 100% Brand New Condition  Fill Box Kit With All Accessories  # Guaranteed Lowest Rate    # Exchange Available  # EMI Available on Old Mobile  •• Credit Card EMI Available  •• Zest Money   # Guaranteed Highest Exchange Rate For your Mobile  # Provide Extra Services  •• COD Available All Over India  •• Book your device on Video call  •• Free Doorstep Delivery available All Over India  # 7 Days Return Policy If problem Found in Device  # More Photos ,Videos and Details Please Contact Us On Call Or Use Below what’s app Link",2021-09-07T05:08:08+0000,"₹ 15,900",https://apollo-singapore.akamaized.net:443/v1/files/998aworwnt3q1-IN/image,images/314.png
315,apple iphone 4s 16gb new packed handset with all accesories and box wi,apple iphone 4s 16gb new packed handset with all accesories and box with seller warranty and bill   cash on delivery available in delhi delivery charge may apply,2021-09-25T12:50:58+0000,"₹ 3,501",https://apollo-singapore.akamaized.net:443/v1/files/fak3nedol0va-IN/image,images/315.png
316,Demo kit. In wrnty. Global. Dont msg only cal. Apple-12-64gb. Only phn,Cal time-12 to 8 pm only. Augst sale month it is❤️❤️. Only serious buyer cal us.,2021-09-11T10:53:38+0000,"₹ 54,000",https://apollo-singapore.akamaized.net:443/v1/files/kl7rrif7vpne1-IN/image,images/316.png
